Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Senegal,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,30.453407063868482,25.59340184257489,35.38505456492764
Singapore,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,42.642026663238006,38.503654965999694,46.36709144960425
Solomon Islands,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,31.897626856902818,27.250402399511152,37.003072497822586
Sierra Leone,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,30.697946896874868,25.69862261232218,36.027316039081505
El Salvador,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.973808379721824,50.752917827564815,60.68977374431167
San Marino,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,57.743258198155786,54.44923950726705,61.65155828716195
Somalia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,16.730898220892236,13.22726214979357,20.608796845748294
Serbia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,67.77512812469196,62.618924167431686,71.55827400220977
South Sudan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,21.430032138907297,17.37349363298778,26.299895063605522
Sao Tome and Principe,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.192030248921995,31.291693761797205,43.62006064929733
Suriname,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.6804557227181,45.06808377075851,54.52014660007666
Slovakia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.15563209194012,47.27912659061432,54.7592286529235
Slovenia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.17123628126495,48.16056421026478,54.19793624424495
Sweden,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,44.71389795750036,38.343079246459574,49.245952979236506
Eswatini,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,25.83644436643392,20.166757944012357,31.712079955498044
Seychelles,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.15060556688295,38.50733426832702,52.10843801985978
Syrian Arab Republic,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,50.195598778773764,45.80192886435402,55.20507290936042
Chad,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,25.571199858140186,20.355082753968887,32.18884242583172
Togo,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,36.4374057111435,31.30174468166029,41.67539615332527
Thailand,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,54.36165168957787,48.01448081268933,59.082062348605454
Tajikistan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,31.736809948679895,27.936257814399813,35.70164481661066
Tokelau,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,44.46733825738287,36.88613441272317,50.94120992451548
Turkmenistan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,39.08629391737402,33.798403061671536,44.35890367099505
Timor-Leste,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,30.398159611598217,25.112342395823596,35.700832099170455
Tonga,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.3818964608897,38.813836326747186,48.14268214679846
Trinidad and Tobago,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,50.94146262866464,45.55287368244729,55.9353551398725
Tunisia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,48.885898381210765,44.11487243677402,53.734204472486105
Turkey,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,33.73695658583563,29.597493569858802,38.20885496894039
